"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.09.2025","145.865","145.499","146.399","145.496","10,28B","0,25%"
"18.09.2025","145.499","145.594","145.726","144.993","8,37B","-0,06%"
"17.09.2025","145.594","144.059","146.331","143.910","9,60B","1,06%"
"16.09.2025","144.062","143.547","144.584","143.547","8,48B","0,36%"
"15.09.2025","143.547","142.292","144.194","142.292","6,61B","0,90%"
"12.09.2025","142.272","143.151","143.202","142.241","6,39B","-0,61%"
"11.09.2025","143.151","142.349","144.013","142.349","7,57B","0,56%"
"10.09.2025","142.349","141.612","143.182","141.612","7,14B","0,52%"
"09.09.2025","141.618","141.794","142.286","141.605","7,48B","-0,12%"
"08.09.2025","141.792","142.640","143.089","141.329","7,44B","-0,59%"
"05.09.2025","142.640","141.003","143.409","141.003","8,38B","1,17%"
"04.09.2025","140.993","139.832","141.482","139.832","8,03B","0,81%"
"03.09.2025","139.864","140.332","140.496","139.582","7,58B","-0,34%"
"02.09.2025","140.335","141.279","141.279","139.625","8,79B","-0,67%"
"01.09.2025","141.283","141.423","141.950","140.878","4,95B","-0,10%"
"29.08.2025","141.422","141.049","142.379","141.000","9,33B","0,26%"
"28.08.2025","141.049","139.206","142.138","139.206","9,29B","1,32%"
"27.08.2025","139.206","137.773","139.281","137.456","6,61B","1,04%"
"26.08.2025","137.771","138.026","138.037","137.058","8,45B","-0,18%"
"25.08.2025","138.025","137.971","138.890","137.971","5,99B","0,04%"
"22.08.2025","137.968","134.511","138.072","134.511","9,32B","2,57%"
"21.08.2025","134.511","134.664","134.837","133.874","6,52B","-0,12%"
"20.08.2025","134.666","134.430","134.964","134.122","6,85B","0,17%"